"C_REGION";"L_REGION";"C_DEPT";"N_DEPT";"RATIO_DMA";"Annee";"TONNAGE_ DMA";"VA_POPANNEE"
"52";"Pays de la Loire";"72";"Sarthe";"457,420000";"2013";"260285,40000";"569035"
"84";"Auvergne-Rhône-Alpes";"73";"Savoie";"640,370000";"2013";"271334,36000";"423715"
"84";"Auvergne-Rhône-Alpes";"74";"Haute-Savoie";"599,470000";"2013";"461401,60000";"769677"
"11";"Ile-de-France";"75";"Paris";"468,160000";"2013";"1043826,07000";"2229621"
"28";"Normandie";"76";"Seine-Maritime";"603,130000";"2013";"756687,88000";"1254609"
"11";"Ile-de-France";"77";"Seine-et-Marne";"497,790000";"2013";"679579,02000";"1365200"
"11";"Ile-de-France";"78";"Yvelines";"441,390000";"2013";"626109,20000";"1418484"
"75";"Nouvelle-Aquitaine";"79";"Deux-Sèvres";"507,740000";"2013";"188693,60000";"371632"
"32";"Hauts-de-France";"80";"Somme";"549,770000";"2013";"314289,27000";"571675"
"76";"Occitanie";"81";"Tarn";"477,990000";"2013";"182557,34000";"381927"
"76";"Occitanie";"82";"Tarn-et-Garonne";"466,230000";"2013";"116715,75000";"250342"
"93";"Provence-Alpes-Côte d'Azur";"83";"Var";"709,260000";"2013";"729529,12000";"1028583"
"93";"Provence-Alpes-Côte d'Azur";"84";"Vaucluse";"571,740000";"2013";"314425,99000";"549949"
"52";"Pays de la Loire";"85";"Vendée";"580,140000";"2013";"380287,99000";"655506"
"75";"Nouvelle-Aquitaine";"86";"Vienne";"507,940000";"2013";"219047,52000";"431248"
